episode,score,ma,std
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.10000000149011612,0.020000000298023225,0.04000000059604644
5,0.0,0.016666666915019352,0.037267800180329984
6,0.0,0.014285714498588018,0.03499271113262027
7,0.0,0.012500000186264515,0.03307189188111697
8,0.0,0.011111111276679568,0.031426968521033764
9,0.0,0.010000000149011612,0.03000000044703483
10,0.0,0.009090909226374193,0.028747979157181712
11,0.0,0.008333333457509676,0.027638540331474663
12,0.0,0.007692307806932009,0.026646935898129928
13,0.0,0.007142857249294009,0.02575393806564922
14,0.0,0.0066666667660077415,0.02494438295019321
15,0.0,0.0062500000931322575,0.024206146274496035
16,0.0,0.00588235302883036,0.023529412115321443
17,0.0,0.005555555638339784,0.022906142705870675
18,0.0,0.005263157973164006,0.02232968815968188
19,0.0,0.005000000074505806,0.021794495042466642
20,0.0,0.004761904832862672,0.02129588581733142
21,0.0,0.004545454613187097,0.02082988983291609
22,0.0,0.004347826151744179,0.02039311230311336
23,0.0,0.004166666728754838,0.01998263164490074
24,0.0,0.004000000059604645,0.01959591823426736
25,0.0,0.0038461539034660044,0.01923076951733002
26,0.0,0.0037037037588931896,0.01888525773916332
27,0.0,0.0035714286246470044,0.018557687500483346
28,0.0,0.00344827591345228,0.01824656103785764
29,0.0,0.0033333333830038708,0.017950549624599035
30,0.0,0.0032258064996811653,0.01766846986022155
31,0.0,0.0031250000465661287,0.01739926389311305
32,0.0,0.003030303075458064,0.01714198282965478
33,0.0,0.00294117651441518,0.016895772741584363
34,0.0,0.0028571428997176034,0.016659862804952158
35,0.0,0.002777777819169892,0.016433555197933544
36,0.0,0.002702702742976111,0.016216216457856668
37,0.0,0.002631578986582003,0.016007270055101174
38,0.0,0.0025641026023106696,0.01580618998673309
39,0.0,0.002500000037252903,0.015612495228640305
40,0.0,0.002439024426588198,0.015425744913609702
41,0.0,0.002380952416431336,0.015245534125825801
42,0.0,0.0023255814300027003,0.015071490220880054
43,0.0,0.0022727273065935483,0.014903269595489658
44,0.0,0.0022222222553359137,0.014740554843453154
45,0.0,0.0021739130758720894,0.014583052244476946
46,0.0,0.0021276596061726833,0.014430489540829483
47,0.0,0.002083333364377419,0.014282613963663036
48,0.0,0.0020408163569411455,0.014139190476558738
49,0.0,0.0020000000298023225,0.014000000208616255
50,0.0,0.0019607843429434533,0.013864839053397247
51,0.0,0.0019230769517330022,0.013733516413381587
52,0.0,0.0018867924809455872,0.013605854072418454
53,0.0,0.0018518518794465948,0.013481685181041866
54,0.0,0.0018181818452748385,0.01336085334154592
55,0.0,0.0017857143123235022,0.01324321178143863
56,0.0,0.0017543859910546687,0.01312862260536485
57,0.0,0.00172413795672614,0.013016956116848364
58,0.0,0.0016949152794934936,0.012908090202284358
59,0.0,0.0016666666915019354,0.012801909770544328
60,0.0,0.001639344286723215,0.012698306242358584
61,0.0,0.0016129032498405826,0.012597177084336195
62,0.0,0.0015873016109542242,0.012498425383085198
63,0.0,0.0015625000232830644,0.01240195945541886
64,0.0,0.0015384615613864019,0.012307692491091211
65,0.0,0.001515151537729032,0.012215542224902355
66,0.0,0.0014925373356733749,0.012125430635363536
67,0.0,0.00147058825720759,0.012037283667417216
68,0.0,0.0014492753839147263,0.01195103097697601
69,0.0,0.0014285714498588017,0.011866605695280594
70,0.0,0.001408450725212903,0.01178394421128566
71,0.0,0.001388888909584946,0.011702985970466354
72,0.0,0.0013698630341111796,0.011623673288601529
73,0.0,0.0013513513714880556,0.01154595117923393
74,0.0,0.0013333333532015482,0.011469767193636349
75,0.0,0.0013157894932910015,0.01139507127222661
76,0.0,0.0012987013180534562,0.011321815606476179
77,0.0,0.0012820513011553348,0.011249954510447798
78,0.0,0.0012658228036723559,0.011179444301178915
79,0.0,0.0012500000186264515,0.011110243187200011
80,0.0,0.0012345679196310631,0.011042311164542214
81,0.0,0.001219512213294099,0.010975609919646892
82,0.0,0.00120481929506164,0.010910102738642374
83,0.0,0.001190476208215668,0.010845754422500397
84,0.0,0.001176470605766072,0.010782531207627156
85,0.10000000149011612,0.0023255814300027003,0.015071490220880054
86,0.10000000149011612,0.00344827591345228,0.01824656103785764
87,0.10000000149011612,0.004545454613187097,0.020829889832916088
88,0.0,0.004494382089443421,0.020718077740842264
89,0.0,0.004444444510671827,0.020608041408185306
90,0.0,0.004395604461104006,0.02049973448808263
91,0.0,0.004347826151744179,0.020393112303113352
92,0.0,0.00430107533290822,0.020288131769105117
93,0.0,0.004255319212345367,0.02018475132312758
94,0.0,0.004210526378531205,0.020082930855405204
95,0.0,0.004166666728754838,0.01998263164490074
96,0.0,0.004123711401654273,0.01988381629833928
97,0.0,0.004081632713882291,0.019786448692458724
98,0.0,0.004040404100610752,0.019690493919287917
99,0.0,0.004000000059604645,0.01959591823426736
100,0.0,0.004000000059604645,0.01959591823426736
101,0.0,0.004000000059604645,0.01959591823426736
102,0.0,0.004000000059604645,0.01959591823426736
103,0.0,0.004000000059604645,0.01959591823426736
104,0.0,0.0030000000447034836,0.01705872236342675
105,0.0,0.0030000000447034836,0.017058722363426752
106,0.0,0.0030000000447034836,0.017058722363426752
107,0.0,0.0030000000447034836,0.017058722363426752
108,0.0,0.0030000000447034836,0.017058722363426752
109,0.0,0.0030000000447034836,0.017058722363426752
110,0.0,0.0030000000447034836,0.017058722363426752
111,0.0,0.0030000000447034836,0.017058722363426752
112,0.0,0.0030000000447034836,0.017058722363426752
113,0.0,0.0030000000447034836,0.017058722363426752
114,0.0,0.0030000000447034836,0.017058722363426752
115,0.0,0.0030000000447034836,0.017058722363426752
116,0.0,0.0030000000447034836,0.017058722363426752
117,0.0,0.0030000000447034836,0.017058722363426752
118,0.0,0.0030000000447034836,0.017058722363426752
